captured_at,ud_round_props_refreshed_at,projections_updated_at,event_name,course_used,display_round,round_num,dg_id,player_name,market,ud_line,over_odds,under_odds,p_over_implied,p_under_implied,odds_method,model_total_score,model_birdies,model_pars,model_bogeys,model_gir,model_fairways,model_putts
2026-07-29T23:13:56Z,2026-07-29T23:13:17Z,2026-07-29T23:13:17Z,Rocket Classic,Detroit Golf Club North Course,1,1,19895,"Schauffele, Xander",Total Score,68.5,-112,-112,0.5283018867924528,0.5283018867924528,underdog_api,66.41,4.34,11.6,1.8,14.1,10.14,28.34
2026-07-29T23:13:56Z,2026-07-29T23:13:17Z,2026-07-29T23:13:17Z,Rocket Classic,Detroit Golf Club North Course,1,1,19895,"Schauffele, Xander",Birdies,3.5,-173,140,0.6336996336996337,0.4166666666666667,underdog_api,66.41,4.34,11.6,1.8,14.1,10.14,28.34
2026-07-29T23:13:56Z,2026-07-29T23:13:17Z,2026-07-29T23:13:17Z,Rocket Classic,Detroit Golf Club North Course,1,1,19895,"Schauffele, Xander",GIR,13.5,-132,107,0.5689655172413793,0.4830917874396135,underdog_api,66.41,4.34,11.6,1.8,14.1,10.14,28.34
2026-07-29T23:13:56Z,2026-07-29T23:13:17Z,2026-07-29T23:13:17Z,Rocket Classic,Detroit Golf Club North Course,1,1,19895,"Schauffele, Xander",Bogeys,2.5,119,-145,0.45662100456621,0.5918367346938775,underdog_api,66.41,4.34,11.6,1.8,14.1,10.14,28.34
2026-07-29T23:13:56Z,2026-07-29T23:13:17Z,2026-07-29T23:13:17Z,Rocket Classic,Detroit Golf Club North Course,1,1,14636,"Spieth, Jordan",Total Score,69.5,-136,110,0.576271186440678,0.47619047619047616,underdog_api,68.03,4.37,11.27,1.98,13.52,8.37,28.7
2026-07-29T23:13:56Z,2026-07-29T23:13:17Z,2026-07-29T23:13:17Z,Rocket Classic,Detroit Golf Club North Course,1,1,14636,"Spieth, Jordan",Birdies,3.5,107,-132,0.4830917874396135,0.5689655172413793,underdog_api,68.03,4.37,11.27,1.98,13.52,8.37,28.7
2026-07-29T23:13:56Z,2026-07-29T23:13:17Z,2026-07-29T23:13:17Z,Rocket Classic,Detroit Golf Club North Course,1,1,11676,"Finau, Tony",Total Score,69.5,-148,121,0.5967741935483871,0.45248868778280543,underdog_api,67.78,5.25,10.33,2.1,13.46,8.13,28.94
2026-07-29T23:13:56Z,2026-07-29T23:13:17Z,2026-07-29T23:13:17Z,Rocket Classic,Detroit Golf Club North Course,1,1,11676,"Finau, Tony",Birdies,3.5,112,-137,0.4716981132075472,0.5780590717299579,underdog_api,67.78,5.25,10.33,2.1,13.46,8.13,28.94
2026-07-29T23:13:56Z,2026-07-29T23:13:17Z,2026-07-29T23:13:17Z,Rocket Classic,Detroit Golf Club North Course,1,1,15466,"Cantlay, Patrick",Total Score,68.5,-148,121,0.5967741935483871,0.45248868778280543,underdog_api,66.57,5.18,10.72,1.78,14.11,8.67,28.33
2026-07-29T23:13:56Z,2026-07-29T23:13:17Z,2026-07-29T23:13:17Z,Rocket Classic,Detroit Golf Club North Course,1,1,15466,"Cantlay, Patrick",Birdies,3.5,-137,112,0.5780590717299579,0.4716981132075472,underdog_api,66.57,5.18,10.72,1.78,14.11,8.67,28.33
