captured_at,pp_round_props_refreshed_at,projections_updated_at,event_name,course_used,display_round,round_num,dg_id,player_name,market,pp_line,over_odds,under_odds,p_over_implied,p_under_implied,pp_odds_method,model_total_score,model_birdies,model_pars,model_bogeys,model_gir,model_fairways,model_putts
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,11889,"Fox, Ryan",Total Score,69.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.19,3.82,10.25,3.53,12.28,7.68,29.4
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,24766,"Kim, Tom",Total Score,69,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.23,3.86,10.65,3.1,12.92,8.77,29.4
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,24766,"Kim, Tom",Pars,11.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.23,3.86,10.65,3.1,12.92,8.77,29.4
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,11889,"Fox, Ryan",Birdies,4,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.19,3.82,10.25,3.53,12.28,7.68,29.4
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,19895,"Schauffele, Xander",Birdies,4.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,67.5,3.89,10.84,2.83,13.11,8.59,29.1
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,20706,"Wallace, Matt",Total Score,69.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.67,3.73,10.23,3.61,12.55,8.35,29.4
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,14502,"Cauley, Bud",Total Score,69,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.05,3.79,10.46,3.36,12.92,8.8,29.6
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,22465,"Penge, Marco",Total Score,69,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.34,3.93,10.28,3.36,11.57,7.68,29.8
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,14502,"Cauley, Bud",Pars,11.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.05,3.79,10.46,3.36,12.92,8.8,29.6
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,22465,"Penge, Marco",Birdies,4,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,68.34,3.93,10.28,3.36,11.57,7.68,29.8
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,14502,"Cauley, Bud",Bogeys,2.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.05,3.79,10.46,3.36,12.92,8.8,29.6
2026-07-09T05:07:25Z,2026-07-08T15:56:57Z,2026-07-09T03:33:48Z,Genesis Scottish Open,The Renaissance Club,1,1,18474,"Smalley, Alex",Total Score,69.5,-136,-136,0.576271186440678,0.576271186440678,prizepicks_fixed,69.47,3.88,10.14,3.51,12.56,8.64,29
